job_title,ai_impact,task,ai_model,domain
Clinical Nurse Manager,0.45,536.00,1924.00,Data & IT
Disability Case Manager,0.45,722.00,2376.00,Administrative & Clerical
Insurance Sales Manager,0.45,622.00,2122.00,Leadership & Strategy
Medical Practice Manager,0.45,609.00,2055.00,Medical & Healthcare
Medical Records Specialist,0.45,646.00,2161.00,Supply Chain & Logistics
Content Developer,0.45,791.00,3082.00,Law Enforcement
Corporate Trainer,0.45,627.00,2127.00,Construction
Customer Account Manager,0.45,756.00,2300.00,Sales & Marketing
Division Order Analyst,0.45,626.00,1831.00,Hospitality
Inventory Analyst,0.45,806.00,2656.00,Communication & PR
Lot Attendant,0.45,230.00,837.00,Data & IT
Operation Specialist,0.45,871.00,2745.00,Administrative & Clerical
Peoplesoft Consultant,0.45,688.00,2148.00,Leadership & Strategy
Process Analyst,0.45,708.00,2107.00,Medical & Healthcare
Process Improvement Engineer,0.45,669.00,2022.00,Supply Chain & Logistics
Procurement Analyst,0.45,690.00,2048.00,Law Enforcement
Social Media Strategist,0.45,997.00,3490.00,Construction
Strategic Sourcing Manager,0.45,669.00,2165.00,Sales & Marketing
Advertising Sales Representative,0.45,817.00,2532.00,Hospitality
Business Development Representative,0.45,957.00,2881.00,Communication & PR
Field Sales Representative,0.45,695.00,2258.00,Data & IT
Field Service Representative,0.45,622.00,1903.00,Administrative & Clerical
Group Sales Manager,0.45,795.00,2555.00,Leadership & Strategy
Independent Sales Representative,0.45,508.00,1461.00,Medical & Healthcare
Medical Sales,0.45,554.00,1580.00,Supply Chain & Logistics
Outside Sales,0.45,727.00,2260.00,Law Enforcement
Regional Sales Executive,0.45,743.00,2270.00,Construction
Retail Sales Representative,0.45,674.00,2203.00,Sales & Marketing
Route Sales Representative,0.45,485.00,1626.00,Hospitality
Sales Administrator,0.45,632.00,2117.00,Communication & PR
Sales Advisor,0.45,717.00,2230.00,Data & IT
Sales Representative,0.45,736.00,2273.00,Administrative & Clerical
Assistant Nurse Manager,0.45,476.00,1541.00,Leadership & Strategy
Certified Nurse Assistant,0.45,457.00,1486.00,Medical & Healthcare
Graduate Nurse,0.45,261.00,664.00,Supply Chain & Logistics
Neonatal Nurse,0.45,298.00,892.00,Law Enforcement
Nurse Assistant,0.45,321.00,931.00,Construction
Pediatric Nurse,0.44,246.00,964.00,Sales & Marketing
Field Service Technician,0.43,581.00,1682.00,Hospitality
Regulatory Affairs Associate,0.43,614.00,1879.00,Communication & PR
Aeronautical Engineer,0.43,415.00,1405.00,Data & IT
Agricultural Engineer,0.43,449.00,1471.00,Administrative & Clerical
Antenna Engineer,0.43,419.00,1393.00,Leadership & Strategy
Avionics Engineer,0.42,431.00,1418.00,Medical & Healthcare
Cfd Engineer,0.42,384.00,1169.00,Supply Chain & Logistics
Electrical Design Engineer,0.42,420.00,1212.00,Law Enforcement
Electrical Designer,0.42,415.00,1217.00,Construction
Electronics Engineer,0.42,412.00,1132.00,Sales & Marketing
Fea Engineer,0.42,384.00,1080.00,Hospitality
Hvac Design Engineer,0.41,424.00,1631.00,Communication & PR
Lobby Attendant,0.40,233.00,841.00,Data & IT
Night Auditor,0.40,469.00,1428.00,Administrative & Clerical
Reservation Agent,0.40,476.00,1597.00,Leadership & Strategy
Restaurant Operations Manager,0.40,386.00,1428.00,Medical & Healthcare
Restaurant Server,0.40,226.00,963.00,Supply Chain & Logistics
Room Attendant,0.40,258.00,959.00,Law Enforcement
Room Service Server,0.40,203.00,842.00,Construction
Travel Agent,0.40,575.00,2145.00,Sales & Marketing
Travel Counselor,0.40,565.00,2101.00,Hospitality
Travel Specialist,0.40,566.00,2071.00,Communication & PR
Decorator,0.40,616.00,2386.00,Data & IT
Youth Development Specialist,0.40,475.00,1830.00,Administrative & Clerical
Armed Guard,0.40,223.00,1030.00,Leadership & Strategy
Armed Security,0.40,233.00,1050.00,Medical & Healthcare
Bodyguard,0.40,229.00,1115.00,Supply Chain & Logistics
Crime Analyst,0.40,637.00,1979.00,Law Enforcement
Intelligence Officer,0.40,530.00,1542.00,Construction
Loss Prevention,0.40,457.00,1439.00,Sales & Marketing
Personnel Security Specialist,0.40,511.00,1730.00,Hospitality
Privacy Officer,0.40,500.00,1687.00,Communication & PR
Public Affairs Specialist,0.40,647.00,2271.00,Data & IT
Safety Assistant,0.40,395.00,1446.00,Administrative & Clerical
Bi Analyst,0.40,815.00,2531.00,Leadership & Strategy
Citrix Engineer,0.40,499.00,1325.00,Medical & Healthcare
Desktop Support,0.40,658.00,1981.00,Supply Chain & Logistics
Desktop Support Specialist,0.40,661.00,1982.00,Law Enforcement
Help Desk Specialist,0.40,843.00,2600.00,Construction
It Architect,0.40,772.00,2297.00,Sales & Marketing
It Support,0.40,830.00,2540.00,Hospitality
It Support Analyst,0.40,824.00,2533.00,Communication & PR
Junior Systems Administrator,0.40,801.00,2493.00,Data & IT
Network Architect,0.40,778.00,2346.00,Administrative & Clerical
Network Specialist,0.40,814.00,2537.00,Leadership & Strategy
Network Support Technician,0.40,806.00,2527.00,Medical & Healthcare
Performance Tester,0.40,612.00,1933.00,Supply Chain & Logistics
Sap Administrator,0.40,671.00,2130.00,Law Enforcement
Sap Security Consultant,0.40,689.00,2156.00,Construction
Senior Network Engineer,0.40,609.00,1807.00,Sales & Marketing
Service Desk Analyst,0.40,772.00,2319.00,Hospitality
Sharepoint Consultant,0.40,734.00,2255.00,Communication & PR
Solutions Architect,0.40,774.00,2301.00,Data & IT
Systems Architect,0.40,520.00,1914.00,Administrative & Clerical
Tech Support,0.40,636.00,2458.00,Leadership & Strategy
Technology Coordinator,0.40,656.00,2506.00,Medical & Healthcare
Telecommunications Analyst,0.40,554.00,2270.00,Supply Chain & Logistics
Unloader,0.40,278.00,1128.00,Law Enforcement
Warehouse Operator,0.40,319.00,1227.00,Construction
Business Consultant,0.40,997.00,2969.00,Sales & Marketing
Process Improvement Specialist,0.40,795.00,2413.00,Hospitality
Professional Services Consultant,0.40,805.00,2344.00,Communication & PR
Solutions Consultant,0.40,836.00,2528.00,Data & IT
Strategic Consultant,0.40,629.00,2098.00,Administrative & Clerical
Call Center,0.40,1064.00,3265.00,Leadership & Strategy
Circulation Manager,0.40,633.00,1823.00,Medical & Healthcare
Market Analyst,0.40,1044.00,3370.00,Supply Chain & Logistics
Market Research Analyst,0.40,1046.00,3372.00,Law Enforcement
Market Researcher,0.40,1037.00,3356.00,Construction
Marketing Analyst,0.40,1029.00,3263.00,Sales & Marketing
Marketing Research Analyst,0.40,1009.00,3220.00,Hospitality
Media Buyer,0.40,857.00,2906.00,Communication & PR
Unit Coordinator,0.40,564.00,1968.00,Data & IT
Architectural Project Manager,0.40,795.00,2482.00,Administrative & Clerical
Assistant Product Manager,0.40,853.00,2632.00,Leadership & Strategy
Associate Project Manager,0.40,861.00,2753.00,Medical & Healthcare
It Project Coordinator,0.40,872.00,2890.00,Supply Chain & Logistics
Junior Project Manager,0.40,844.00,2792.00,Law Enforcement
Product Developer,0.40,715.00,2633.00,Construction
Project Administrator,0.40,636.00,1972.00,Sales & Marketing
Project Coordinator,0.40,683.00,2074.00,Hospitality
Project Director,0.40,613.00,1953.00,Communication & PR
Project Management Assistant,0.40,621.00,1886.00,Data & IT
Project Officer,0.40,590.00,1833.00,Administrative & Clerical
Project Scheduler,0.40,585.00,1840.00,Leadership & Strategy
Project Supervisor,0.40,615.00,1963.00,Medical & Healthcare
Courtesy Clerk,0.40,218.00,744.00,Supply Chain & Logistics
Deli Clerk,0.40,249.00,755.00,Law Enforcement
Floor Supervisor,0.40,450.00,1446.00,Construction
Merchandise Coordinator,0.40,804.00,2897.00,Sales & Marketing
Autocad Designer,0.40,663.00,2463.00,Hospitality
Civil Drafter,0.40,373.00,1098.00,Communication & PR
Dozer Operator,0.40,68.00,280.00,Data & IT
Electrical Project Manager,0.40,510.00,1446.00,Administrative & Clerical
Estimator,0.40,648.00,2029.00,Leadership & Strategy
Heavy Equipment Mechanic,0.40,242.00,924.00,Medical & Healthcare
Independent Contractor,0.40,522.00,1454.00,Supply Chain & Logistics
Installation Coordinator,0.40,588.00,1814.00,Law Enforcement
Pipeline Controller,0.40,306.00,1154.00,Construction
Shop Foreman,0.40,307.00,1152.00,Sales & Marketing
Claim Analyst,0.40,590.00,1927.00,Hospitality
Claim Examiner,0.40,579.00,1913.00,Communication & PR
Claims,0.40,557.00,1738.00,Data & IT
Claims Adjuster,0.40,588.00,1919.00,Administrative & Clerical
Claims Supervisor,0.40,600.00,1988.00,Leadership & Strategy
Insurance Clerk,0.40,463.00,1446.00,Medical & Healthcare
Netsuite Consultant,0.40,730.00,2157.00,Supply Chain & Logistics
Php Developer,0.40,566.00,2178.00,Law Enforcement
Php Web Developer,0.40,568.00,2182.00,Construction
Sap Abap Developer,0.40,615.00,1838.00,Sales & Marketing
Software Trainer,0.40,800.00,2642.00,Hospitality
Bi Developer,0.40,822.00,2530.00,Communication & PR
Business Developer,0.40,984.00,2898.00,Data & IT
Business Objects Developer,0.40,871.00,2669.00,Administrative & Clerical
Cost Analyst,0.40,680.00,1864.00,Leadership & Strategy
Erp Analyst,0.40,648.00,1730.00,Medical & Healthcare
Field Investigator,0.40,628.00,1840.00,Supply Chain & Logistics
Fraud Analyst,0.40,711.00,2184.00,Law Enforcement
Junior Financial Analyst,0.40,792.00,2669.00,Construction
Loss Prevention Detective,0.40,415.00,1381.00,Sales & Marketing
Patent Analyst,0.40,561.00,1813.00,Hospitality
Planning Analyst,0.40,598.00,1872.00,Communication & PR
Clinical Data Associate,0.40,862.00,2525.00,Data & IT
Clinical Data Coordinator,0.40,859.00,2499.00,Administrative & Clerical
Cloud Consultant,0.40,772.00,2262.00,Leadership & Strategy
Data Center Manager,0.40,816.00,2382.00,Medical & Healthcare
Data Specialist,0.40,795.00,2343.00,Supply Chain & Logistics
Database Manager,0.40,761.00,2088.00,Law Enforcement
Gis Specialist,0.40,701.00,2197.00,Construction
Marketing Data Analyst,0.40,1027.00,3220.00,Sales & Marketing
Oracle Consultant,0.40,716.00,2140.00,Hospitality
Server Engineer,0.40,566.00,1757.00,Communication & PR
Ui Designer,0.40,691.00,2693.00,Data & IT
User Interface Designer,0.40,686.00,2633.00,Administrative & Clerical
Web Designer,0.40,667.00,2649.00,Leadership & Strategy
Compensation Specialist,0.40,723.00,2180.00,Medical & Healthcare
Hr Analyst,0.40,776.00,2352.00,Supply Chain & Logistics
Payroll Administrator,0.40,587.00,1971.00,Law Enforcement
Placement Coordinator,0.40,566.00,1772.00,Construction
Public Relations,0.40,734.00,2691.00,Sales & Marketing
Recruiting Assistant,0.40,611.00,2013.00,Hospitality
Recruiting Coordinator,0.40,613.00,2010.00,Communication & PR
Recruitment Manager,0.40,643.00,2048.00,Data & IT
Sales Recruiter,0.40,606.00,1842.00,Administrative & Clerical
Staffing Consultant,0.40,678.00,2192.00,Leadership & Strategy
Staffing Coordinator,0.40,684.00,2278.00,Medical & Healthcare
Staffing Manager,0.40,682.00,2269.00,Supply Chain & Logistics
Staffing Specialist,0.40,685.00,2281.00,Law Enforcement
Technology Trainer,0.40,643.00,2446.00,Construction
Workforce Management Analyst,0.40,652.00,2166.00,Sales & Marketing
Assistant District Attorney,0.40,592.00,1989.00,Hospitality
Associate Attorney,0.40,654.00,2100.00,Communication & PR
Contract Attorney,0.40,466.00,1378.00,Data & IT
Defense Attorney,0.40,462.00,1253.00,Administrative & Clerical
Immigration Attorney,0.40,479.00,1673.00,Leadership & Strategy
Immigration Paralegal,0.40,531.00,1890.00,Medical & Healthcare
Legal Administrative Assistant,0.40,531.00,1910.00,Supply Chain & Logistics
Legal Assistant,0.40,527.00,1905.00,Law Enforcement
Legal Secretary,0.40,532.00,1909.00,Construction
Litigation Associate,0.40,502.00,1701.00,Sales & Marketing
Litigation Attorney,0.40,503.00,1699.00,Hospitality
Litigation Legal Assistant,0.40,553.00,1927.00,Communication & PR
Litigation Paralegal,0.40,554.00,1932.00,Data & IT
Real Estate Paralegal,0.40,431.00,1547.00,Administrative & Clerical
Senior Paralegal,0.40,432.00,1578.00,Leadership & Strategy
Community Outreach Coordinator,0.40,934.00,2874.00,Medical & Healthcare
Community Outreach Specialist,0.40,926.00,2851.00,Supply Chain & Logistics
Fundraising Manager,0.40,867.00,2659.00,Law Enforcement
Outreach Coordinator,0.40,901.00,3233.00,Construction
Volunteer,0.40,245.00,926.00,Sales & Marketing
Event Producer,0.40,936.00,3182.00,Hospitality
Sports Information Director,0.40,474.00,1798.00,Communication & PR
Mechanical Designer,0.40,485.00,1864.00,Data & IT
Mechatronics Engineer,0.40,434.00,1677.00,Administrative & Clerical
Noc Engineer,0.40,681.00,2080.00,Leadership & Strategy
Office Engineer,0.40,461.00,1743.00,Medical & Healthcare
Operating Engineer,0.40,380.00,1509.00,Supply Chain & Logistics
Process Control Engineer,0.40,482.00,1584.00,Law Enforcement
Procurement Engineer,0.40,527.00,1671.00,Construction
Project Engineer,0.40,505.00,1613.00,Sales & Marketing
Resident Engineer,0.40,463.00,1502.00,Hospitality
Rf Design Engineer,0.40,415.00,1405.00,Communication & PR
Rf Engineer,0.40,419.00,1418.00,Data & IT
Site Engineer,0.40,461.00,1551.00,Administrative & Clerical
Storage Engineer,0.40,403.00,1672.00,Leadership & Strategy
Supplier Quality Engineer,0.40,417.00,1691.00,Medical & Healthcare
Support Engineer,0.40,442.00,1778.00,Supply Chain & Logistics
Telecom Engineer,0.40,390.00,1626.00,Law Enforcement
Voip Engineer,0.40,349.00,1406.00,Construction
Welding,0.40,92.00,444.00,Sales & Marketing
Business Coordinator,0.40,939.00,2880.00,Hospitality
Documentation Specialist,0.40,786.00,2418.00,Communication & PR
Facilities Administrator,0.40,673.00,2177.00,Data & IT
Front Office Coordinator,0.40,873.00,2608.00,Administrative & Clerical
Incident Manager,0.40,707.00,2183.00,Leadership & Strategy
Maintenance Director,0.40,399.00,1357.00,Medical & Healthcare
Production Clerk,0.40,336.00,1291.00,Supply Chain & Logistics
Records Manager,0.40,482.00,1623.00,Law Enforcement
Scheduling Coordinator,0.40,509.00,1599.00,Construction
Technical Assistant,0.40,625.00,2560.00,Sales & Marketing
Virtual Assistant,0.40,589.00,1932.00,Hospitality
Box Truck Driver,0.40,331.00,1162.00,Communication & PR
Concrete Truck Driver,0.40,59.00,193.00,Data & IT
Courier Driver,0.40,61.00,182.00,Administrative & Clerical
Driver,0.40,59.00,204.00,Leadership & Strategy
Dump Truck Driver,0.40,54.00,164.00,Medical & Healthcare
Freight Agent,0.40,615.00,2030.00,Supply Chain & Logistics
Fuel Truck Driver,0.40,58.00,180.00,Law Enforcement
Garbage Truck Driver,0.40,58.00,172.00,Construction
Heavy Truck Driver,0.40,154.00,565.00,Sales & Marketing
Non Cdl Driver,0.40,168.00,583.00,Hospitality
Professional Driver,0.40,93.00,411.00,Communication & PR
Route Driver,0.40,100.00,426.00,Data & IT
Shuttle Bus Driver,0.40,93.00,412.00,Administrative & Clerical
Shuttle Driver,0.40,95.00,416.00,Leadership & Strategy
Tow Truck Driver,0.40,69.00,360.00,Medical & Healthcare
Caterer,0.40,630.00,1975.00,Supply Chain & Logistics
Catering Manager,0.40,684.00,2073.00,Law Enforcement
Food Service Director,0.40,495.00,1647.00,Construction
Front Desk Associate,0.40,826.00,2445.00,Sales & Marketing
Guest Services,0.40,558.00,1668.00,Hospitality
Hotel Night Auditor,0.40,452.00,1301.00,Communication & PR
Lab Aide,0.40,287.00,1031.00,Data & IT
Risk Management Specialist,0.40,604.00,1858.00,Administrative & Clerical
Lease Administrator,0.40,635.00,2107.00,Leadership & Strategy
Loss Mitigation Specialist,0.40,584.00,2004.00,Medical & Healthcare
Agronomist,0.40,460.00,1594.00,Supply Chain & Logistics
Associate Scientist,0.40,524.00,1772.00,Law Enforcement
Biological Scientist,0.40,475.00,1721.00,Construction
Biological Technician,0.40,466.00,1628.00,Sales & Marketing
Biostatistician,0.40,567.00,1874.00,Hospitality
Chemical Operator,0.40,357.00,1167.00,Communication & PR
Computational Biologist,0.40,466.00,1399.00,Data & IT
Environmental Chemist,0.40,511.00,1558.00,Administrative & Clerical
Environmental Scientist,0.40,521.00,1566.00,Leadership & Strategy
Lab Technologist,0.40,375.00,1584.00,Medical & Healthcare
Laboratory Analyst,0.40,398.00,1602.00,Supply Chain & Logistics
Radiology Technician,0.40,219.00,861.00,Law Enforcement
Research Associate,0.40,614.00,1947.00,Construction
Accounting Auditor,0.40,680.00,2109.00,Sales & Marketing
Accounts Payable Specialist,0.40,713.00,2244.00,Hospitality
Accounts Receivable Specialist,0.40,713.00,2253.00,Communication & PR
Audit Associate,0.40,647.00,2057.00,Data & IT
Billing Analyst,0.40,716.00,2273.00,Administrative & Clerical
Budget Manager,0.40,676.00,2240.00,Leadership & Strategy
Budget Officer,0.40,669.00,2235.00,Medical & Healthcare
CPA,0.40,540.00,1635.00,Supply Chain & Logistics
Certified Public Accountant,0.40,542.00,1637.00,Law Enforcement
Chartered Accountant,0.40,547.00,1642.00,Construction
Collection Manager,0.40,583.00,1844.00,Sales & Marketing
Collection Supervisor,0.40,578.00,1919.00,Hospitality
Credit Counselor,0.40,642.00,2075.00,Communication & PR
Financial Counselor,0.40,676.00,2113.00,Data & IT
Financial Reporting Manager,0.40,741.00,2194.00,Administrative & Clerical
Investment Analyst,0.40,764.00,2456.00,Leadership & Strategy
Loan Analyst,0.40,750.00,2337.00,Medical & Healthcare
Portfolio Analyst,0.40,547.00,1795.00,Supply Chain & Logistics
Treasury Analyst,0.40,595.00,2047.00,Law Enforcement
Underwriter,0.40,706.00,2654.00,Construction
Case Manager,0.40,784.00,2544.00,Sales & Marketing
Clinical Supervisor,0.40,388.00,1202.00,Hospitality
Health Information Manager,0.40,735.00,2315.00,Communication & PR
Healthcare Recruiter,0.40,700.00,2253.00,Data & IT
Intake Specialist,0.40,628.00,1833.00,Administrative & Clerical
Medical Case Manager,0.40,572.00,1693.00,Leadership & Strategy
Medical Information Specialist,0.40,765.00,2450.00,Medical & Healthcare
Medical Manager,0.40,597.00,1739.00,Supply Chain & Logistics
Medical Scheduler,0.40,518.00,1687.00,Law Enforcement
Patient Financial Counselor,0.40,419.00,1484.00,Construction
Patient Registrar,0.40,369.00,1359.00,Sales & Marketing
Patient Service Representative,0.40,386.00,1468.00,Hospitality
Patient Service Specialist,0.40,394.00,1479.00,Communication & PR
Patient Services Representative,0.40,392.00,1473.00,Data & IT
Screener,0.40,273.00,949.00,Administrative & Clerical
Criminal Investigator,0.40,517.00,1512.00,Leadership & Strategy
Food Inspector,0.40,345.00,1217.00,Medical & Healthcare
Game Warden,0.40,320.00,1001.00,Supply Chain & Logistics
Regulatory Specialist,0.40,604.00,1904.00,Law Enforcement
Cargo Agent,0.40,597.00,2088.00,Construction
Inventory Planner,0.40,791.00,2569.00,Sales & Marketing
Logistics Administrator,0.40,749.00,2422.00,Hospitality
Logistics Analyst,0.40,814.00,2675.00,Communication & PR
Logistics Planner,0.40,756.00,2500.00,Data & IT
Purchasing Specialist,0.40,530.00,1717.00,Administrative & Clerical
Senior Buyer,0.40,449.00,1512.00,Leadership & Strategy
Supply Chain Planner,0.40,670.00,2481.00,Medical & Healthcare
Certified Personal Trainer,0.40,551.00,1737.00,Supply Chain & Logistics
Anchor,0.40,697.00,2170.00,Law Enforcement
Broadcast Journalist,0.40,756.00,2331.00,Construction
Communications,0.40,841.00,2410.00,Sales & Marketing
Communications Officer,0.40,842.00,2542.00,Hospitality
Content Specialist,0.40,986.00,3369.00,Communication & PR
Creative Producer,0.40,898.00,3016.00,Data & IT
Proofreader,0.40,430.00,1728.00,Administrative & Clerical
Sound Technician,0.40,424.00,1317.00,Leadership & Strategy
Technical Designer,0.40,583.00,2311.00,Medical & Healthcare
Qa Analyst,0.40,643.00,1948.00,Supply Chain & Logistics
Clinical Nurse Educator,0.40,386.00,1041.00,Law Enforcement
Computer Teacher,0.40,562.00,1344.00,Construction
Early Childhood Education,0.40,440.00,1092.00,Sales & Marketing
Education Consultant,0.40,618.00,1955.00,Hospitality
Head Start Teacher,0.40,399.00,1196.00,Communication & PR
Library Technician,0.40,521.00,1849.00,Data & IT
Online Instructor,0.40,846.00,2784.00,Administrative & Clerical
School Administrator,0.40,491.00,1714.00,Leadership & Strategy
Substitute Teacher,0.40,470.00,1701.00,Medical & Healthcare
Test Proctor,0.40,463.00,1638.00,Supply Chain & Logistics
Training Coordinator,0.40,676.00,2242.00,Law Enforcement
Training Supervisor,0.40,655.00,2201.00,Construction
Agent,0.40,648.00,2044.00,Sales & Marketing
Aircraft Painter,0.40,403.00,1500.00,Hospitality
Art Director,0.40,686.00,2666.00,Communication & PR
Assistant Art Director,0.40,658.00,2252.00,Data & IT
Character Artist,0.40,737.00,2724.00,Administrative & Clerical
Concept Artist,0.40,786.00,2804.00,Leadership & Strategy
Creative Consultant,0.40,827.00,2896.00,Medical & Healthcare
Designer,0.40,745.00,2746.00,Supply Chain & Logistics
Drone Pilot,0.40,357.00,1046.00,Law Enforcement
Illustrator,0.40,468.00,2014.00,Construction
Industrial Painter,0.40,182.00,966.00,Sales & Marketing
Technical Writer,0.40,715.00,2803.00,Hospitality
Ticketing Agent,0.40,495.00,1754.00,Communication & PR
Video Game Tester,0.40,532.00,1838.00,Data & IT
Anesthesiologist Assistant,0.40,382.00,1277.00,Administrative & Clerical
Cardiac Sonographer,0.40,403.00,1376.00,Leadership & Strategy
Cardiovascular Technologist,0.40,417.00,1411.00,Medical & Healthcare
Certified Occupational Therapy Assistant,0.40,438.00,1476.00,Supply Chain & Logistics
Certified Pharmacy Technician,0.40,232.00,722.00,Law Enforcement
Clinical Exercise Physiologist,0.40,283.00,904.00,Construction
Dosimetrist,0.40,199.00,646.00,Sales & Marketing
Er Rn,0.40,214.00,523.00,Hospitality
Health Inspector,0.40,300.00,903.00,Communication & PR
Hearing Aid Specialist,0.40,301.00,1053.00,Data & IT
Hearing Instrument Specialist,0.40,297.00,1049.00,Administrative & Clerical
Medical Illustrator,0.40,487.00,2085.00,Leadership & Strategy
Medical Physicist,0.40,305.00,1065.00,Medical & Healthcare
Pharmacist Technician,0.40,238.00,1071.00,Supply Chain & Logistics
Pharmacy Technician,0.40,248.00,1012.00,Law Enforcement
Phlebotomy,0.40,171.00,710.00,Construction
Phlebotomy Technician,0.40,177.00,714.00,Sales & Marketing
Radiology Manager,0.40,331.00,1271.00,Hospitality
Specimen Processor,0.40,325.00,1144.00,Communication & PR
Sterile Processing Technician,0.40,274.00,1052.00,Data & IT
Surgical Technician,0.40,265.00,887.00,Administrative & Clerical
Surgical Technologist,0.40,266.00,910.00,Leadership & Strategy
Aircraft Fueler,0.40,394.00,1326.00,Medical & Healthcare
Aircraft Technician,0.40,434.00,1406.00,Supply Chain & Logistics
Atm Technician,0.40,442.00,1466.00,Law Enforcement
Automation Specialist,0.40,598.00,1883.00,Construction
Aviation Technician,0.40,434.00,1419.00,Sales & Marketing
Calibration Technician,0.40,478.00,1599.00,Hospitality
Electronics Technician,0.40,339.00,966.00,Communication & PR
Equipment Technician,0.40,251.00,781.00,Data & IT
Forklift Mechanic,0.40,121.00,503.00,Administrative & Clerical
Generalist,0.40,527.00,1657.00,Leadership & Strategy
Hvac Service Technician,0.40,270.00,1079.00,Medical & Healthcare
Hvac Technician,0.40,272.00,1080.00,Supply Chain & Logistics
Janitorial Manager,0.40,355.00,1277.00,Law Enforcement
Maintenance Manager,0.40,407.00,1380.00,Construction
Maintenance Superintendent,0.40,397.00,1376.00,Sales & Marketing
Newspaper Delivery,0.40,409.00,1411.00,Hospitality
Parking Enforcement Officer,0.40,148.00,558.00,Communication & PR
Sewing,0.40,143.00,512.00,Data & IT
Theater Manager,0.40,472.00,1739.00,Administrative & Clerical
Watchmaker,0.40,157.00,643.00,Leadership & Strategy
Assistant Buyer,0.40,710.00,2168.00,Medical & Healthcare
Associate Buyer,0.40,710.00,2181.00,Supply Chain & Logistics
Automation Technician,0.40,557.00,1796.00,Law Enforcement
Cmm Programmer,0.40,295.00,919.00,Construction
Controls Technician,0.40,304.00,964.00,Sales & Marketing
Inventory,0.40,539.00,1778.00,Hospitality
Manufacturing Analyst,0.40,638.00,2158.00,Communication & PR
Manufacturing Technician,0.40,432.00,1757.00,Data & IT
Material Handler,0.40,352.00,1212.00,Administrative & Clerical
Order Builder,0.40,341.00,1195.00,Leadership & Strategy
Order Picker,0.40,345.00,1200.00,Medical & Healthcare
Order Puller,0.40,343.00,1198.00,Supply Chain & Logistics
Picker,0.40,154.00,584.00,Law Enforcement
Production Operator,0.40,250.00,1013.00,Construction
Deli Manager,0.40,541.00,1803.00,Sales & Marketing
Director Of Development,0.40,829.00,2430.00,Hospitality
Business Development Officer,0.40,958.00,2883.00,Communication & PR
Field Representative,0.40,682.00,2146.00,Data & IT
Dialysis Nurse,0.40,453.00,1512.00,Administrative & Clerical
Oncology Nurse,0.40,444.00,1475.00,Leadership & Strategy
Service Delivery Manager,0.40,772.00,2336.00,Medical & Healthcare
Excavator Operator,0.40,306.00,1146.00,Supply Chain & Logistics
Claim Representative,0.40,723.00,2147.00,Law Enforcement
Insurance Manager,0.40,700.00,2137.00,Construction
Auto Body Technician,0.40,412.00,1409.00,Sales & Marketing
Dental Office Manager,0.40,651.00,2087.00,Hospitality
Configuration Manager,0.40,701.00,2069.00,Communication & PR
Clinical Nurse,0.40,458.00,1509.00,Data & IT
Events Assistant,0.40,758.00,2237.00,Administrative & Clerical
Transportation Dispatcher,0.40,719.00,2282.00,Leadership & Strategy
Bar Manager,0.40,564.00,1815.00,Medical & Healthcare
Family Nurse Practitioner,0.40,450.00,1494.00,Supply Chain & Logistics
Nurse Clinician,0.40,452.00,1493.00,Law Enforcement
Assembly Technician,0.40,437.00,1436.00,Construction
Night Manager,0.40,430.00,1380.00,Sales & Marketing
Reservation Specialist,0.40,614.00,2138.00,Hospitality
Reservationist,0.40,570.00,2011.00,Communication & PR
Reservations Agent,0.40,565.00,2015.00,Data & IT
Restaurant General Manager,0.40,392.00,1308.00,Administrative & Clerical
Restaurant Supervisor,0.40,384.00,1285.00,Leadership & Strategy
Server,0.40,206.00,666.00,Medical & Healthcare
Server Assistant,0.40,246.00,708.00,Supply Chain & Logistics
Travel Assistant,0.40,708.00,2151.00,Law Enforcement
Behavioral Technician,0.40,134.00,948.00,Construction
Nursing Home Administrator,0.40,440.00,1692.00,Sales & Marketing
Youth Program Director,0.40,771.00,2366.00,Hospitality
Air Marshal,0.40,41.00,325.00,Communication & PR
Court Security Officer,0.40,339.00,1079.00,Data & IT
Detective,0.40,400.00,1195.00,Administrative & Clerical
Forensic Investigator,0.40,419.00,1269.00,Leadership & Strategy
Gunsmith,0.40,140.00,555.00,Medical & Healthcare
Investigator,0.40,473.00,1414.00,Supply Chain & Logistics
Security Supervisor,0.40,283.00,998.00,Law Enforcement
Cisco Engineer,0.40,95.00,623.00,Construction
Cisco Network Engineer,0.40,95.00,623.00,Sales & Marketing
Computer Operator,0.40,457.00,1300.00,Hospitality
Controls Engineer,0.40,453.00,1254.00,Communication & PR
Digital Account Manager,0.39,560.00,1606.00,Data & IT
Edi Analyst,0.38,524.00,1437.00,Administrative & Clerical
Information Security Engineer,0.38,491.00,1373.00,Leadership & Strategy
Integration Analyst,0.38,540.00,1483.00,Medical & Healthcare
It Specialist,0.38,547.00,1548.00,Supply Chain & Logistics
Junior Network Engineer,0.38,493.00,1352.00,Law Enforcement
Network Consultant,0.38,1009.00,3292.00,Construction
Network Support Specialist,0.38,1025.00,3395.00,Sales & Marketing
Salesforce Administrator,0.38,1022.00,3269.00,Hospitality
Sap Functional Consultant,0.38,1025.00,3289.00,Communication & PR
Support Technician,0.38,1122.00,3609.00,Data & IT
Crisis Counselor,0.38,397.00,1224.00,Administrative & Clerical
